Steak - Flap,Meat,40:40.8,41:37.8
Plum Tomatoes,Produce,51:09.0,51:09.0
Rosemary,Dry Good,52:05.7,52:05.7
Parsnips,Produce,03:45.2,03:45.2
Filtered Water,Dry Good,20:36.5,21:21.0
Gluten Free Buns,Dry Good,23:53.3,23:53.3
Tomatoes,Produce,24:38.7,24:38.7
Red Curry Paste,Dry Good,31:20.5,31:20.5
Fish Sauce,Dry Good,31:42.0,31:42.0
Green Beans,Produce,32:01.1,32:01.1
Almond Flour Tortilla,Dry Good,18:32.9,18:32.9
Cherry Tomatoes ,Produce,18:57.4,18:57.4
Sunflower Seeds,Dry Good,19:16.7,19:16.7
Refried Black Beans,Canned Good,20:12.5,20:12.5
Brocoli,Produce,38:34.4,38:34.4
Shallots,Produce,05:39.6,05:39.6
Brussel Sprouts,Produce,06:13.8,06:13.8
Balsamic Vinegar,Dry Good,06:34.1,06:34.1
Clarified Butter,Dairy,10:05.4,10:05.4
Almonds,Dry Good,19:35.2,19:35.2
Mint,Produce,24:11.0,24:11.0
Lemon Zest,Produce,26:16.7,26:16.7
Pablano Pepper,Produce,39:27.8,39:27.8
Fire Roasted Tomatoes,Canned Good,42:36.0,42:36.0
Radish,Produce,45:11.4,45:11.4
Rutabaga,Produce,00:02.9,00:02.9
Pancetta,Meat,00:28.0,00:28.0
Collard Greens,Produce,13:08.9,13:08.9
Bacon,Meat,13:33.0,13:33.0
Green Onion,Produce,13:56.7,13:56.7
Lemon Grass,Produce,19:05.5,19:05.5
Orange Bell Pepper,Produce,18:43.8,18:43.8
Turnip,Produce,19:56.6,19:56.6
Mayonnaise - Olive Oil,Dry Good,27:35.3,27:35.3
Fresh Dill,Produce,27:56.4,27:56.4
Onion Powder,Spice,32:31.0,32:31.0
Chives,Produce,37:22.8,37:22.8
Parsley,Produce,37:39.8,37:39.8
Worcestershire Sauce,Dry Good,38:10.5,38:10.5
Italian Sausage,Meat,43:40.0,43:40.0
Almond Flour,Dry Good,48:14.3,48:14.3
Baking Soda,Dry Good,48:31.0,48:31.0
Maple Syrup,Dry Good,48:49.1,48:49.1
Vanilla Extract,Dry Good,49:02.9,49:02.9
Dark Chocolate Chips,Dry Good,49:16.6,49:16.6
Beet,Produce,53:13.3,53:13.3
Apple Juice,Dry Good,53:36.9,53:36.9
Cacao Powder,Dry Good,54:09.4,54:09.4
Almond Meal,Dry Good,54:22.7,54:22.7
Almond Butter,Dry Good,54:37.7,54:37.7
Raw Honey,Dry Good,54:52.1,54:52.1
Baking Powder,Dry Good,56:03.9,56:03.9
Fresh Oregano,Produce,29:34.0,29:34.0
Artichoke,Produce,41:50.9,41:50.9
Daiya Cheese,Dairy,19:08.0,19:08.0
Enchilada Sauce,Dry Good,24:19.2,24:19.2
Agave Nectar,Dry Good,51:22.2,51:22.2
Dried Guajillo Chiles,Dry Good,01:43.4,01:43.4
Mexican Oregano,Spice,02:07.2,02:07.2
Chipotle Chile,Dry Good,07:19.3,07:19.3
Fennel,Produce,19:04.8,19:04.8
Arugula,Produce,19:49.2,19:49.2
Vegetable Stock,Dry Good,52:08.7,52:08.7
Yukon Gold Potato,Produce,52:34.5,52:34.5
Zucchini,Produce,53:01.0,53:01.0
Fresh Spinach,Produce,53:16.0,53:16.0
Canned Whole Tomatoes,Canned Good,59:40.9,59:40.9
Italian Sausage,Meat,00:26.5,00:26.5
Gluten Free Pasta,Dry Good,00:59.9,00:59.9
Chipotle Chile in Adobo,Dry Good,08:38.9,08:38.9
Grapeseed Oil,Dry Good,11:13.8,11:13.8
Mustard Powder,Dry Good,13:28.3,13:28.3
Ghee,Dairy,00:27.9,00:27.9
chicken wings,Meat,20:42.3,20:42.3
Wing Sauce,Dry Good,21:07.7,21:07.7
Ancho Chili Flakes,Spice,00:18.1,00:18.1
San Marzano Diced Tomatoes,Canned Good,01:35.8,01:35.8
Dark Chocolate,Dry Good,01:59.6,01:59.6
Canned White Beans,Canned Good,02:20.0,02:20.0
Cinnamon,Spice,13:27.7,13:27.7
edamame,Frozen,45:24.8,45:24.8
Ground Coriander,Spice,51:55.5,51:55.5
Caraway Seeds,Spice,52:16.8,52:16.8
Eggplant,Produce,59:59.7,59:59.7
Pork Chop,Meat,04:12.0,04:12.0
Champagne Vinager,Dry Good,12:32.4,14:23.9
Cane Sugar,Dry Good,19:24.9,19:24.9
Rice Wine Vinegar,Dry Good,20:06.3,20:06.3
Walnuts,Dry Good,08:28.5,08:28.5
Red Wine Vinegar,Cooking Oil,10:35.7,10:35.7
Dried Thyme,Spice,10:54.9,10:54.9
Ground Pork,Meat,13:20.8,13:20.8
Fresh Sage,Produce,13:39.2,13:39.2
Sesame seeds,Spice,37:47.3,37:47.3
Nutmug,Spice,38:12.7,38:12.7
